id,"code","name"
281,"UESU","Zyryanka"
282,"UGGG","Tbilisi"
283,"UHHH","Khabarovsk"
284,"UHMM","Magadan"
285,"UHPP","Petropavlovsk-Kamchatsky"
286,"UHSS","Yuzhno-Sakhalinsk"
287,"UHWW","Vladivostok"
288,"UIAA","Chita"
289,"UIII","Irkutsk"
290,"UIKB","Bodaybo Auxiliary"
291,"UIKK","Kirensk"
292,"UKBV","Kyiv"
293,"UKFV","Simferopol"
294,"UKHV","Kharkiv"
295,"UKLV","Lviv"
296,"UKOV","Odesa"
297,"ULAA","Arkhangelsk"
298,"ULAM","Naryan-Mar Auxiliary"
299,"ULDD","Amderma"
300,"ULKK","Kotlas"
301,"ULLL","Sankt-Peterburg"
302,"ULMM","Murmansk"
303,"ULOL","Velikiye Luki"
304,"ULPH","Petrozavodsk"
305,"ULWW","Vologda"
306,"UMKK","Kaliningrad"
307,"UMMV","Minsk"
308,"UNBB","Barnaul"
309,"UNIP","Podkamennaya Tunguska Auxiliary"
310,"UNIT","Tura Auxiliary"
311,"UNIW","Vanavara Auxiliary"
312,"UNKL","Krasnoyarsk"
313,"UNLL","Kolpashevo"
314,"UNNT","Novosibirsk"
315,"UNOO","Omsk"
316,"UNWW","Novokuznetsk Auxiliary"
317,"UOOO","Norilsk"
318,"UOTT","Turukhansk"
319,"URRV","Rostov"
320,"USCC","Chelyabinsk"
321,"USCM","Magnitogorsk Auxiliary"
322,"USDD","Salekhard"
323,"USDK","Kamenny Mys"
324,"USDS","Tarko-Sale"
325,"USHB","Beryozovo"
326,"USHH","Khanty-Mansiysk"
327,"USKK","Kirov"
328,"USPP","Perm"
329,"USRR","Surgut"
330,"USSE","Severouralsk Auxiliary"
331,"USSS","Yekaterinburg"
332,"USTR","Tyumen"
333,"USUU","Kurgan"
334,"UTAA","Ashkhabad"
335,"UTAK","Turkmenbashy"
336,"UTAT","Dashkhovuz"
337,"UTAV","Turkmenabat"
338,"UTDD","Dushanbe"
339,"UTNR","Nukus"
340,"UTSD","Samarkand"
341,"UTTR","Tashkent"
342,"UUWV","Moscow"
343,"UUYP","Pechora"
344,"UUYW","Vorkuta"
345,"UUYY","Syktyvkar"
346,"UWKD","Kazan"
347,"UWOO","Orenburg"
