id,"airport_id","ident_a","ident_b",length,width,threshold_a,threshold_b,heading_a,heading_b,lat_a,lon_a,lat_b,lon_b
38629,"YPWR","12","30",5295,98,NULL,NULL,125,305,-31.136900,136.815000,-31.145200,136.829000
38630,"YPWR","18","36",7782,148,NULL,NULL,186,6,-31.135100,136.814000,-31.156400,136.811000
38631,"YPXM","18","36",6900,148,NULL,NULL,175,355,-10.440800,105.690000,-10.459700,105.692000
38632,"YPYA","18","36",0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38633,"YPYD","17","35",3608,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38634,"YPYF","10","28",5741,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38635,"YPYF","18","36",4199,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38636,"YQBE","18","36",3280,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38637,"YQBK","05","23",1640,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38638,"YQBK","09","27",2624,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38639,"YQDG","06","24",4265,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38640,"YQDG","09","27",2132,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38641,"YQDI","06","24",3629,60,NULL,NULL,65,245,-31.501500,150.513000,-31.497400,150.524000
38642,"YQDI","14","32",5807,98,NULL,NULL,140,320,-31.490900,150.514000,-31.503000,150.526000
38643,"YQLP","09","27",4898,98,NULL,NULL,95,275,-26.608900,144.250000,-26.609800,144.265000
38644,"YQLP","18","36",3510,98,NULL,NULL,195,15,-26.601500,144.256000,-26.611900,144.253000
38645,"YQNS","09","27",4101,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38646,"YQON","09","27",3937,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38647,"YQON","18","36",2496,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38648,"YQRN","17","35",3608,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38649,"YQUE","09","27",3280,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38650,"YRAG","18","36",2296,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38651,"YRAM","04","22",1640,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38652,"YRAM","06","24",3444,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38653,"YRAV","12","30",2952,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38654,"YRAV","18","36",3937,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38655,"YRAW","09","27",3871,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38656,"YRBB","15","33",2624,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38657,"YRBE","02","20",1360,100,NULL,NULL,32,147,NULL,NULL,NULL,NULL
38658,"YRBE","14","32",2165,180,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38659,"YRBR","13","31",3805,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38660,"YRBT","09","27",4396,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38661,"YRDA","05","23",4265,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38662,"YRDA","11","29",3280,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38663,"YRDM","09","27",3854,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38664,"YRDY","01","19",3608,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38665,"YRDY","10","28",4593,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38666,"YRED","07","25",2798,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38667,"YREN","07","25",5709,98,NULL,NULL,74,254,-34.200400,140.660000,-34.196100,140.678000
38668,"YREN","12","30",0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38669,"YREN","18","36",3360,98,NULL,NULL,185,5,-34.196400,140.679000,-34.205500,140.678000
38670,"YRHL","06","24",2624,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38671,"YRHL","14","32",2296,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38672,"YRID","02","20",2198,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38673,"YRKE","02","20",2952,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38674,"YRKS","06","24",3280,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38675,"YRKS","15","33",3280,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38676,"YRLE","12","30",3608,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38677,"YRLL","13","31",3215,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38678,"YRMD","09","27",5000,98,NULL,NULL,98,278,-20.700200,143.107000,-20.702200,143.121000
38679,"YRNG","09","27",4825,59,NULL,NULL,92,272,-12.356800,134.886000,-12.357300,134.899000
38680,"YRNW","06","24",3999,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38681,"YRNW","18","36",1899,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38682,"YROB","34","11",0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38683,"YROE","09","27",5137,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38684,"YROE","18","36",5666,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38685,"YROI","01","19",3740,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38686,"YROI","12","30",3854,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38687,"YROK","14","32",3280,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38688,"YROM","09","27",2628,98,NULL,NULL,102,282,-26.544100,148.766000,-26.545600,148.774000
38689,"YROM","18","36",4934,98,NULL,NULL,192,12,-26.537700,148.777000,-26.551000,148.774000
38690,"YROT","11","29",3937,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38691,"YROV","08","26",2952,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38692,"YRRB","13","31",4107,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38693,"YRRG","10","28",5905,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38694,"YRRR","10","28",2132,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38695,"YRSB","14","32",4455,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38696,"YRSK","11","29",3280,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38697,"YRSY","03","21",3198,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38698,"YRSY","15","33",2395,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38699,"YRTI","09","27",4242,59,NULL,564,91,271,-32.006300,115.533000,-32.006300,115.547000
38700,"YRTP","12","30",3205,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38701,"YRUD","06","24",3280,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38702,"YRUD","15","33",4921,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38703,"YRVE","09","27",2952,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38704,"YRWA","02","20",3608,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38705,"YRWA","12","30",3280,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38706,"YRWH","05","23",3608,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38707,"YRXB","01","19",2001,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38708,"YRXB","09","27",2919,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38709,"YRYH","09","27",3937,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38710,"YRYH","13","31",3116,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38711,"YRYK","03","21",3608,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38712,"YSAH","09","27",3280,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38713,"YSAI","18","36",3937,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38714,"YSAN","09","27",3280,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38715,"YSAN","18","36",3280,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38716,"YSAR","16","34",3444,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38717,"YSBK","11C","29C",4644,98,508,196,124,304,-33.919600,150.984000,-33.926800,150.996000
38718,"YSBK","11L","29R",3609,98,NULL,NULL,124,304,-33.920100,150.987000,-33.925700,150.997000
38719,"YSBK","11R","29L",3419,75,NULL,NULL,124,304,-33.921600,150.985000,-33.926800,150.994000
38720,"YSBO","18","36",3280,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38721,"YSCA","08","26",5500,60,NULL,NULL,8,26,NULL,NULL,NULL,NULL
38722,"YSCA","17","35",2700,60,NULL,NULL,170,350,NULL,NULL,NULL,NULL
38723,"YSCB","12","30",5509,148,NULL,214,130,310,-35.300700,149.185000,-35.310400,149.199000
38724,"YSCB","17","35",10771,148,NULL,1968,180,360,-35.290600,149.194000,-35.314800,149.194000
38725,"YSCH","03","21",6824,148,NULL,NULL,41,221,-30.338400,153.107000,-30.324200,153.121000
38726,"YSCH","10","28",2785,60,406,NULL,107,287,-30.316500,153.114000,-30.318700,153.123000
38727,"YSCN","06","24",4804,98,NULL,1408,65,245,-34.040600,150.681000,-34.035000,150.695000
38728,"YSCN","10","28",2372,98,NULL,NULL,111,291,-34.041500,150.682000,-34.043800,150.689000
38729,"YSCO","11","29",4606,98,NULL,NULL,124,304,-32.035800,150.827000,-32.042900,150.840000
38730,"YSCR","09","27",4337,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38731,"YSCR","14","32",4609,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38732,"YSDL","14","32",4265,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38733,"YSDU","05","23",5604,148,NULL,NULL,53,233,-32.222800,148.569000,-32.213700,148.583000
38734,"YSDU","11","29",3501,60,NULL,NULL,118,298,-32.214400,148.573000,-32.219000,148.583000
38735,"YSDW","08","26",2624,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38736,"YSDW","18","36",1640,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38737,"YSEN","05","23",2952,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38738,"YSEN","09","27",1968,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38739,"YSFI","10","28",2952,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38740,"YSFY","09","27",2296,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
38741,"YSGD","14","32",3280,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
